date,metro,upt,year,month,baseline_upt,index_vs_2014_2019_month,index_3mma
2016-01-01,New York,260947131.0,2016,1,261675592.16666666,99.72161669316002,100.95688988789941
2016-02-01,New York,271329583.0,2016,2,256123531.0,105.93699920527801,102.81736630304995
2016-03-01,New York,303963592.0,2016,3,297943163.1666667,102.02066352835408,102.5597598089307
2016-04-01,New York,286271826.0,2016,4,289513435.1666667,98.88032513420299,102.27932928927835
2016-05-01,New York,305538942.0,2016,5,301451402.6666667,101.35595299845168,100.75231388700291
2016-06-01,New York,299459515.0,2016,6,291393713.8333333,102.76800795067255,101.0014286944424
2016-07-01,New York,267343459.0,2016,7,279081763.0,95.79395519298049,99.97263871403491
2016-08-01,New York,282748651.0,2016,8,276328701.6666667,102.32330166740249,100.29508827035185
2016-09-01,New York,291054677.0,2016,9,287479949.1666667,101.24347031634574,99.78690905890956
2016-10-01,New York,291938365.0,2016,10,311595245.8333333,93.69153377781399,99.08610192052073
2016-11-01,New York,284978095.0,2016,11,282663080.0,100.81900154770831,98.58466854728935
2016-12-01,New York,279259357.0,2016,12,279565729.8333333,99.8904111625141,98.13364882934547
2017-01-01,New York,266919612.0,2017,1,261675592.16666666,102.00401565538193,100.90447612186811
2017-02-01,New York,256414171.0,2017,2,256123531.0,100.11347649271632,100.66930110353746
2017-03-01,New York,302190210.0,2017,3,297943163.1666667,101.42545537484193,101.18098250764672
2017-04-01,New York,285230786.0,2017,4,289513435.1666667,98.52074251262252,100.01989146006026
2017-05-01,New York,305282371.0,2017,5,301451402.6666667,101.27084110388746,100.40567966378397
2017-06-01,New York,290643886.0,2017,6,291393713.8333333,99.74267535717597,99.84475299122865
2017-07-01,New York,264630308.0,2017,7,279081763.0,94.82178453917822,98.61176700008055
2017-08-01,New York,270187298.0,2017,8,276328701.6666667,97.77750062529697,97.44732017388372
2017-09-01,New York,283385130.0,2017,9,287479949.1666667,98.57561573301493,97.05830029916338
2017-10-01,New York,315291922.0,2017,10,311595245.8333333,101.1863711709658,99.17982917642591
2017-11-01,New York,283571694.0,2017,11,282663080.0,100.32144771082237,100.0278115382677
2017-12-01,New York,268113037.0,2017,12,279565729.8333333,95.90339887504774,99.13707258561197
2018-01-01,New York,263806906.0,2018,1,261675592.16666666,100.81448705845513,99.01311121477507
2018-02-01,New York,256469840.0,2018,2,256123531.0,100.13521170766617,98.95103254705634
2018-03-01,New York,287107722.0,2018,3,297943163.1666667,96.36325228895906,99.10431701836012
2018-04-01,New York,277767100.0,2018,4,289513435.1666667,95.94273227427095,97.48039875696539
2018-05-01,New York,294557194.0,2018,5,301451402.6666667,97.71299499498762,96.67299318607256
